district,date,month,year,visitors
Rajanna0Sircilla0,01-12-2018,December,2018,0
Ranga0Reddy,01-01-2018,January,2018,0
Ranga0Reddy,01-02-2018,February,2018,0
Ranga0Reddy,01-03-2018,March,2018,0
Ranga0Reddy,01-04-2018,April,2018,0
Ranga0Reddy,01-05-2018,May,2018,0
Ranga0Reddy,01-06-2018,June,2018,0
Ranga0Reddy,01-07-2018,July,2018,0
Ranga0Reddy,01-08-2018,August,2018,0
Ranga0Reddy,01-09-2018,September,2018,0
Ranga0Reddy,01-10-2018,October,2018,0
Ranga0Reddy,01-11-2018,November,2018,0
Ranga0Reddy,01-12-2018,December,2018,0
Sangareddy0,01-01-2018,January,2018,0
Sangareddy0,01-02-2018,February,2018,0
Sangareddy0,01-03-2018,March,2018,0
Sangareddy0,01-04-2018,April,2018,0
Sangareddy0,01-05-2018,May,2018,0
Sangareddy0,01-06-2018,June,2018,0
Sangareddy0,01-07-2018,July,2018,0
Sangareddy0,01-08-2018,August,2018,0
Sangareddy0,01-09-2018,September,2018,0
Sangareddy0,01-10-2018,October,2018,0
Sangareddy0,01-11-2018,November,2018,0
Sangareddy0,01-12-2018,December,2018,0
Siddipet,01-01-2018,January,2018,0
Siddipet,01-02-2018,February,2018,0
Siddipet,01-03-2018,March,2018,0
Siddipet,01-04-2018,April,2018,0
Siddipet,01-05-2018,May,2018,0
Siddipet,01-06-2018,June,2018,0
Siddipet,01-07-2018,July,2018,0
Siddipet,01-08-2018,August,2018,0
Siddipet,01-09-2018,September,2018,0
Siddipet,01-10-2018,October,2018,0
Siddipet,01-11-2018,November,2018,0
Siddipet,01-12-2018,December,2018,0
Suryapet,01-01-2018,January,2018,0
Suryapet,01-02-2018,February,2018,0
Suryapet,01-03-2018,March,2018,0
Suryapet,01-04-2018,April,2018,0
Suryapet,01-05-2018,May,2018,0
Suryapet,01-06-2018,June,2018,0
Suryapet,01-07-2018,July,2018,0
Suryapet,01-08-2018,August,2018,0
Suryapet,01-09-2018,September,2018,0
Suryapet,01-10-2018,October,2018,0
Suryapet,01-11-2018,November,2018,0
Suryapet,01-12-2018,December,2018,0
Vikarabad,01-01-2018,January,2018,0
Vikarabad,01-02-2018,February,2018,0
Vikarabad,01-03-2018,March,2018,0
Vikarabad,01-04-2018,April,2018,0
Vikarabad,01-05-2018,May,2018,0
